127.0.0.1 - - [31/May/2023:09:08:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2023:09:08:41 +0900] "GET /day45_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:08:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2023:09:08:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2023:09:11:03 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:33:08 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [31/May/2023:09:33:08 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [31/May/2023:09:34:49 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:34:49 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:28 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:28 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:35 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:35 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:37 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:37 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:41 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:41 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:52 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:52 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:54 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:35:54 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:05 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:05 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:26 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:26 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:40 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2023:09:36:40 +0900] "GET /day45_css_js/js/day46.js HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [31/May/2023:09:37:53 +0900] "GET /day45_css_js/html/main.html HTTP/1.1" 200 288
