0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:03 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:03 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:14 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:14 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:12 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:12 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:48 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:48 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [29/May/2023:10:45:20 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [29/May/2023:10:45:20 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:46:43 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [29/May/2023:10:46:43 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:48:05 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [29/May/2023:10:48:05 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:20:33 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [29/May/2023:11:20:33 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:18 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:18 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:29 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:29 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:24 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:24 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:25 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:25 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:27 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:27 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:28 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:28 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:29 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:29 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:30 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:30 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:30 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:32 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:32 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:25:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:25:02 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/May/2023:11:25:02 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:26:16 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:26:16 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:26:16 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [29/May/2023:11:27:38 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:27:38 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:27:38 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [29/May/2023:11:36:34 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:36:34 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:36:34 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [29/May/2023:11:36:34 +0900] "GET /day44_css_js/images/2.jpg HTTP/1.1" 200 17614
0:0:0:0:0:0:0:1 - - [29/May/2023:11:39:22 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:39:22 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:39:22 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [29/May/2023:11:39:23 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:40:54 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:40:54 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [29/May/2023:11:43:23 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [29/May/2023:12:05:55 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/May/2023:12:05:56 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:06:27 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [29/May/2023:12:06:28 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:06:33 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:06:35 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:07:02 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [29/May/2023:12:07:07 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:07:08 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:07:58 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [29/May/2023:12:11:19 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [29/May/2023:12:12:13 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [29/May/2023:12:12:27 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [29/May/2023:12:12:28 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:12:12:28 +0900] "GET /day44_css_js/html/ex18_js.html HTTP/1.1" 304 -
